dispensed_date,din,quantity_dispensed,cost_per_unit
2025-12-01,02230711,98,0.35
2025-12-08,02230711,101,0.35
2025-12-15,02230711,103,0.35
2025-12-22,02230711,100,0.35
2025-12-29,02230711,104,0.35
2026-01-05,02230711,102,0.35
2026-01-12,02230711,106,0.35
2026-01-19,02230711,104,0.35
2026-01-26,02230711,107,0.35
2025-12-01,02242974,340,0.15
2025-12-08,02242974,355,0.15
2025-12-15,02242974,348,0.15
2025-12-22,02242974,362,0.15
2025-12-29,02242974,338,0.15
2026-01-05,02242974,351,0.15
2026-01-12,02242974,345,0.15
2026-01-19,02242974,358,0.15
2026-01-26,02242974,342,0.15
2025-12-01,02431327,54,0.55
2025-12-08,02431327,57,0.55
2025-12-15,02431327,55,0.55
2025-12-22,02431327,58,0.55
2025-12-29,02431327,53,0.55
2026-01-05,02431327,56,0.55
2026-01-12,02431327,55,0.55
2026-01-19,02431327,57,0.55
2026-01-26,02431327,54,0.55
2025-12-01,02525194,138,0.45
2025-12-08,02525194,142,0.45
2025-12-15,02525194,135,0.45
2025-12-22,02525194,144,0.45
2025-12-29,02525194,137,0.45
2026-01-05,02525194,141,0.45
2026-01-12,02525194,139,0.45
2026-01-19,02525194,143,0.45
2026-01-26,02525194,136,0.45
2025-12-01,02525356,180,0.8
2025-12-08,02525356,195,0.8
2025-12-15,02525356,210,0.8
2025-12-22,02525356,220,0.8
2025-12-29,02525356,215,0.8
2026-01-05,02525356,200,0.8
2026-01-12,02525356,185,0.8
2026-01-19,02525356,170,0.8
2026-01-26,02525356,155,0.8
